quote_symbol,market,symbol,display_name,universe_tags,reason,added_at
ALMAD.IS,BIST,ALMAD,ALTINYAĞ MADENCİLİK VE ENERJİ YATIRIMLARI SANAYİ VE TİCARET A.Ş.,BIST,auto_excluded_from_missing_symbols,2026-03-25T01:02:28
DAGHL.IS,BIST,DAGHL,DAGİ YATIRIM HOLDİNG A.Ş.,BIST,auto_excluded_from_missing_symbols,2026-03-25T01:02:28
DOBUR.IS,BIST,DOBUR,DOĞAN BURDA DERGİ YAYINCILIK VE PAZARLAMA A.Ş.,BIST,auto_excluded_from_missing_symbols,2026-03-25T01:02:28
GRTRK.IS,BIST,GRTRK,GRAINTURK TARIM A.Ş.,BIST,auto_excluded_from_missing_symbols,2026-03-25T01:02:28
IDEAS.IS,BIST,IDEAS,İDEAL FİNANSAL TEKNOLOJİLER VE DANIŞMANLIK A.Ş.,BIST,auto_excluded_from_missing_symbols,2026-03-25T01:02:28
IPEKE.IS,BIST,IPEKE,İPEK DOĞAL ENERJİ KAYNAKLARI ARAŞTIRMA VE ÜRETİM A.Ş.,BIST,auto_excluded_from_missing_symbols,2026-03-25T01:02:28
ITTFH.IS,BIST,ITTFH,İTTİFAK HOLDİNG A.Ş.,BIST,auto_excluded_from_missing_symbols,2026-03-25T01:02:28
KARYE.IS,BIST,KARYE,KARTAL YENİLENEBİLİR ENERJİ ÜRETİM A.Ş.,BIST,auto_excluded_from_missing_symbols,2026-03-25T01:02:28
KERVT.IS,BIST,KERVT,KEREVİTAŞ GIDA SANAYİ VE TİCARET A.Ş.,BIST,auto_excluded_from_missing_symbols,2026-03-25T01:02:28
KOZAA.IS,BIST,KOZAA,KOZA ANADOLU METAL MADENCİLİK İŞLETMELERİ A.Ş.,BIST,auto_excluded_from_missing_symbols,2026-03-25T01:02:28
KOZAL.IS,BIST,KOZAL,KOZA ALTIN İŞLETMELERİ A.Ş.,BIST,auto_excluded_from_missing_symbols,2026-03-25T01:02:28
METUR.IS,BIST,METUR,METEMTUR YATIRIM ENERJİ TURİZM VE İNŞAAT A.Ş.,BIST,auto_excluded_from_missing_symbols,2026-03-25T01:02:28
MIPAZ.IS,BIST,MIPAZ,MİLPA TİCARİ VE SINAİ ÜRÜNLER PAZARLAMA SANAYİ VE TİCARET A.Ş.,BIST,auto_excluded_from_missing_symbols,2026-03-25T01:02:28
PEGYO.IS,BIST,PEGYO,PERA GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,BIST,auto_excluded_from_missing_symbols,2026-03-25T01:02:28
QNBFB.IS,BIST,QNBFB,QNB FİNANSBANK A.Ş.,BIST,auto_excluded_from_missing_symbols,2026-03-25T01:02:28
QNBFL.IS,BIST,QNBFL,QNB FİNANS FİNANSAL KİRALAMA A.Ş.,BIST,auto_excluded_from_missing_symbols,2026-03-25T01:02:28
SELGD.IS,BIST,SELGD,SELÇUK GIDA ENDÜSTRİ İHRACAT İTHALAT A.Ş.,BIST,auto_excluded_from_missing_symbols,2026-03-25T01:02:28
TETMT.IS,BIST,TETMT,TETAMAT GIDA YATIRIMLARI A.Ş.,BIST,auto_excluded_from_missing_symbols,2026-03-25T01:02:28
UZERB.IS,BIST,UZERB,UZERTAŞ BOYA SANAYİ TİCARET VE YATIRIM A.Ş.,BIST,auto_excluded_from_missing_symbols,2026-03-25T01:02:28
