quote_symbol,display_name_quote,last,change,change_percent,volume,open,high,low,prev_close,currency,exchange_name,exchange_code,market_state,market_time
AAK,,35.46418,0.04896199999999595,0.13825130202501068,,,,,35.415218,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
AAL,,3.163587,0.006326000000000054,0.20036354295701414,,,,,3.157261,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
AAS,,11.304688,-0.00020099999999878548,-0.0017779918051277239,,,,,11.304889,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
AAV,,62.641428,-0.3200440000000029,-0.5083172134222066,,,,,62.961472,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
ABG,,61.013064,-0.008581999999996981,-0.014063861863046078,,,,,61.021646,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
ABJ,,0.865476,-0.023978999999999973,-2.695920535608881,,,,,0.889455,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
ABU,,0.093662,0.00019199999999999773,0.20541350165828365,,,,,0.09347,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
AC1,,2.850502,0.006029000000000284,0.21195490342148737,,,,,2.844473,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
AC2,,3.547098,-0.06909799999999988,-1.9107924459846726,,,,,3.616196,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
AC3,,66.538101,-0.07638000000000034,-0.1146597539354849,,,,,66.614481,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
AC4,,3.498726,0.007535999999999987,0.21585763020631898,,,,,3.49119,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
AC5,,3.41169,0.00974900000000023,0.28657169539390104,,,,,3.401941,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
AC6,,55.818382,-0.03186099999999925,-0.057047200313880914,,,,,55.850243,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
AC7,,10.832908,-0.016058000000001016,-0.148014105676071,,,,,10.848966,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
AC8,,193.433338,0.6219069999999931,0.32254674775998793,,,,,192.811431,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
ACC,,44.554248,-0.4821540000000013,-1.0705872995804622,,,,,45.036402,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
ACD,,5.566091,-0.021428000000000225,-0.383497577368421,,,,,5.587519,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
ACN,,11.722688,-0.0013059999999995853,-0.011139548519042105,,,,,11.723994,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
ACU,,52.543634,0.013557999999996184,0.025809975984036622,,,,,52.530076,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
ADE,,0.869842,8.60000000000305e-05,0.00988783060996768,,,,,0.869756,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
ADP,,1.369433,-0.016989000000000143,-1.2253844788960462,,,,,1.386422,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
AED,,109.243258,-0.04498999999999853,-0.04116636584749582,,,,,109.288248,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
AES,,0.162964,0.004642000000000007,2.93199934311088,,,,,0.158322,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
AEV,,1.911029,-0.015773999999999955,-0.8186617936550834,,,,,1.926803,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
AFA,,1.089195,0.0013299999999998313,0.12225781691660557,,,,,1.087865,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
AFO,,1.359602,-0.008167000000000035,-0.597103750706445,,,,,1.367769,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
AFS,,0.304136,0.0009339999999999904,0.30804546144154404,,,,,0.303202,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
AFT,,0.908831,0.0036160000000000636,0.3994631109736431,,,,,0.905215,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
AFV,,0.536876,-0.005271999999999943,-0.9724281930395287,,,,,0.542148,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
AGC,,8.635818,0.002284000000001285,0.026454983555995553,,,,,8.633534,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
AHH,,9.536789,0.010158999999999807,0.10663791918023274,,,,,9.52663,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
AHI,,37.87796,-0.22798699999999883,-0.5982976882847153,,,,,38.105947,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
AHN,,66.294058,-0.050041999999990594,-0.07542795817561862,,,,,66.3441,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
AHU,,10.1155,0.016769000000000034,0.1660505661552925,,,,,10.098731,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
AHV,,19.657857,-0.013774999999998983,-0.07002469342654936,,,,,19.671632,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
AHZ,,26.880522,-0.0014929999999999666,-0.005553899140373095,,,,,26.882015,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
AI1,,1.104338,0.0010430000000001272,0.09453500650325863,,,,,1.103295,TRY,TEFAS,TEFAS,CLOSED,2026-04-24T00:00:00+00:00
