symbol,quote_symbol,name,country,is_bist,is_nasdaq,is_sp500,is_tefas,universe_tags
A1CAP,A1CAP.IS,A1 CAPITAL YATIRIM MENKUL DEĞERLER A.Ş.,TR,True,False,False,False,BIST
AAK,AAK,ATA PORTFÖY ÇOKLU VARLIK DEĞİŞKEN FON,TR,False,False,False,True,TEFAS
AAL,AAL,ATA PORTFÖY PARA PİYASASI (TL) FONU,TR,False,False,False,True,TEFAS
AAS,AAS,ATA PORTFÖY FON SEPETİ SERBEST FONU,TR,False,False,False,True,TEFAS
AAV,AAV,ATA PORTFÖY İKİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),TR,False,False,False,True,TEFAS
ABG,ABG,ATLAS PORTFÖY DÖRDÜNCÜ SERBEST (TL) FON,TR,False,False,False,True,TEFAS
ABJ,ABJ,ALLBATROSS PORTFÖY BENZ HİSSE SENEDİ SERBEST (TL) ÖZEL FON (HİSSE SENEDİ YOĞUN FON),TR,False,False,False,True,TEFAS
ABU,ABU,AK PORTFÖY BİREBİR BANKACILIK DEĞİŞKEN ÖZEL FON,TR,False,False,False,True,TEFAS
AC1,AC1,PARDUS PORTFÖY KISA VADELİ KATILIM SERBEST FONU,TR,False,False,False,True,TEFAS
AC2,AC2,PARDUS PORTFÖY İKİNCİ SERBEST FON,TR,False,False,False,True,TEFAS
AC3,AC3,PARDUS PORTFÖY ÜÇÜNCÜ SERBEST (DÖVİZ) FON,TR,False,False,False,True,TEFAS
AC4,AC4,PARDUS PORTFÖY PARA PİYASASI (TL) FON,TR,False,False,False,True,TEFAS
AC5,AC5,PARDUS PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),TR,False,False,False,True,TEFAS
AC6,AC6,PARDUS PORTFÖY DÖRDÜNCÜ SERBEST (DÖVİZ) FON,TR,False,False,False,True,TEFAS
AC7,AC7,PARDUS PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),TR,False,False,False,True,TEFAS
