market,symbol,quote_symbol,display_name,universe_tags
BIST,A1CAP,A1CAP.IS,A1 CAPITAL YATIRIM MENKUL DEĞERLER A.Ş.,BIST
BIST,ACSEL,ACSEL.IS,ACISELSAN ACIPAYAM SELÜLOZ SANAYİ VE TİCARET A.Ş.,BIST
BIST,ADEL,ADEL.IS,ADEL KALEMCİLİK TİCARET VE SANAYİ A.Ş.,BIST
BIST,ADESE,ADESE.IS,ADESE GAYRİMENKUL YATIRIM A.Ş.,BIST
BIST,ADGYO,ADGYO.IS,ADRA GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,BIST
BIST,AEFES,AEFES.IS,ANADOLU EFES BİRACILIK VE MALT SANAYİİ A.Ş.,BIST
BIST,AFYON,AFYON.IS,AFYON ÇİMENTO SANAYİ T.A.Ş.,BIST
BIST,AGESA,AGESA.IS,AGESA HAYAT VE EMEKLİLİK A.Ş.,BIST
BIST,AGHOL,AGHOL.IS,AG ANADOLU GRUBU HOLDİNG A.Ş.,BIST
BIST,AGYO,AGYO.IS,ATAKULE GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,BIST
BIST,AHGAZ,AHGAZ.IS,AHLATCI DOĞAL GAZ DAĞITIM ENERJİ VE YATIRIM A.Ş.,BIST
BIST,AKBNK,AKBNK.IS,AKBANK T.A.Ş.,BIST
BIST,AKCNS,AKCNS.IS,AKÇANSA ÇİMENTO SANAYİ VE TİCARET A.Ş.,BIST
BIST,AKENR,AKENR.IS,AKENERJİ ELEKTRİK ÜRETİM A.Ş.,BIST
BIST,AKFGY,AKFGY.IS,AKFEN GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,BIST
BIST,AKFYE,AKFYE.IS,AKFEN YENİLENEBİLİR ENERJİ A.Ş.,BIST
BIST,AKGRT,AKGRT.IS,AKSİGORTA A.Ş.,BIST
BIST,AKMGY,AKMGY.IS,AKMERKEZ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,BIST
BIST,AKSA,AKSA.IS,AKSA AKRİLİK KİMYA SANAYİİ A.Ş.,BIST
BIST,AKSEN,AKSEN.IS,AKSA ENERJİ ÜRETİM A.Ş.,BIST
BIST,AKSGY,AKSGY.IS,AKİŞ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,BIST
BIST,AKSUE,AKSUE.IS,AKSU ENERJİ VE TİCARET A.Ş.,BIST
BIST,AKYHO,AKYHO.IS,AKDENİZ YATIRIM HOLDİNG A.Ş.,BIST
BIST,ALARK,ALARK.IS,ALARKO HOLDİNG A.Ş.,BIST
