market,symbol,quote_symbol,display_name,universe_tags
BIST,SNKRN,SNKRN.IS,SENKRON SİBER GÜVENLİK YAZILIM VE BİLİŞİM ÇÖZÜMLERİ A.Ş.,BIST
BIST,YGYO,YGYO.IS,YEŞİL GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,BIST
NASDAQ,NRIX,NRIX,"Nurix Therapeutics, Inc. - Common stock",NASDAQ
NASDAQ,NRSN,NRSN,NeuroSense Therapeutics Ltd. - Ordinary Shares,NASDAQ
NASDAQ,NRXP,NRXP,"NRX Pharmaceuticals, Inc. - Common Stock",NASDAQ
NASDAQ,NSIT,NSIT,"Insight Enterprises, Inc. - Common Stock",NASDAQ
NASDAQ,NSPR,NSPR,InspireMD Inc. - Common Stock,NASDAQ
NASDAQ,NSSC,NSSC,"NAPCO Security Technologies, Inc. - Common Stock",NASDAQ
NASDAQ,NSTS,NSTS,"NSTS Bancorp, Inc. - Common Stock",NASDAQ
NASDAQ,NSYS,NSYS,Nortech Systems Incorporated - Common Stock,NASDAQ
NASDAQ,NTAP,NTAP,"NetApp, Inc. - Common Stock",NASDAQ;SP500
NASDAQ,NTCL,NTCL,NETCLASS TECHNOLOGY INC - Class A Ordinary Shares,NASDAQ
NASDAQ,NTCT,NTCT,"NetScout Systems, Inc. - Common Stock",NASDAQ
NASDAQ,NTES,NTES,"NetEase, Inc. - American Depositary Shares, each representing 5 ordinary shares",NASDAQ
NASDAQ,NTGR,NTGR,"NETGEAR, Inc. - Common Stock",NASDAQ
NASDAQ,NTHI,NTHI,"NeOnc Technologies Holdings, Inc. - Common Stock",NASDAQ
NASDAQ,NTIC,NTIC,Northern Technologies International Corporation - Common Stock,NASDAQ
NASDAQ,NTLA,NTLA,"Intellia Therapeutics, Inc. - Common Stock",NASDAQ
NASDAQ,NTNX,NTNX,"Nutanix, Inc. - Class A Common Stock",NASDAQ
NASDAQ,NTRA,NTRA,"Natera, Inc. - Common Stock",NASDAQ
NASDAQ,NTRB,NTRB,Nutriband Inc. - Common Stock,NASDAQ
NASDAQ,NTRP,NTRP,"NextTrip, Inc. - Common Stock",NASDAQ
NASDAQ,NTSK,NTSK,"Netskope, Inc. - Class A Common Stock",NASDAQ
NASDAQ,NTWK,NTWK,NETSOL Technologies Inc. - Common Stock,NASDAQ
NASDAQ,NTWO,NTWO,Newbury Street II Acquisition Corp - Class A Ordinary Shares,NASDAQ
NASDAQ,NUAI,NUAI,"New Era Energy & Digital, Inc. - Common Stock",NASDAQ
NASDAQ,NUCL,NUCL,Eagle Nuclear Energy Corp. - Common stock,NASDAQ
NASDAQ,NUTR,NUTR,Nusatrip Incorporated - Common Stock,NASDAQ
NASDAQ,NUTX,NUTX,Nutex Health Inc. - Common Stock,NASDAQ
NASDAQ,NUVL,NUVL,"Nuvalent, Inc. - Class A Common Stock",NASDAQ
NASDAQ,NUWE,NUWE,"Nuwellis, Inc. - Common Stock",NASDAQ
NASDAQ,NVA,NVA,Nova Minerals Limited - American Depositary Shares,NASDAQ
NASDAQ,NVAX,NVAX,"Novavax, Inc. - Common Stock",NASDAQ
NASDAQ,NVCR,NVCR,NovoCure Limited - Ordinary Shares,NASDAQ
NASDAQ,NVCT,NVCT,"Nuvectis Pharma, Inc. - Common Stock",NASDAQ
NASDAQ,NVDA,NVDA,NVIDIA Corporation - Common Stock,NASDAQ;SP500
NASDAQ,NVEC,NVEC,NVE Corporation - Common Stock,NASDAQ
NASDAQ,NVMI,NVMI,Nova Ltd. - Ordinary Shares,NASDAQ
NASDAQ,NVNI,NVNI,Nvni Group Limited - Ordinary Shares,NASDAQ
NASDAQ,NVNO,NVNO,enVVeno Medical Corporation - Common Stock,NASDAQ
NASDAQ,NVTS,NVTS,Navitas Semiconductor Corporation - Common Stock,NASDAQ
NASDAQ,NVVE,NVVE,Nuvve Holding Corp. - Common Stock,NASDAQ
NASDAQ,NWBI,NWBI,"Northwest Bancshares, Inc. - Common Stock",NASDAQ
NASDAQ,NWE,NWE,"NorthWestern Energy Group, Inc. - Common Stock",NASDAQ
NASDAQ,NWFL,NWFL,Norwood Financial Corp. - Common Stock,NASDAQ
NASDAQ,NWGL,NWGL,CL Workshop Group Limited - American Depositary Shares,NASDAQ
NASDAQ,NWL,NWL,Newell Brands Inc. - Common Stock,NASDAQ
NASDAQ,NWPX,NWPX,"NWPX Infrastructure, Inc. - Common Stock",NASDAQ
NASDAQ,NWS,NWS,News Corporation - Class B Common Stock,NASDAQ;SP500
NASDAQ,NWSA,NWSA,News Corporation - Class A Common Stock,NASDAQ;SP500
NASDAQ,NWTG,NWTG,"Newton Golf Company, Inc. - Common Stock",NASDAQ
NASDAQ,NXGL,NXGL,"NexGel, Inc - Common Stock",NASDAQ
NASDAQ,NXL,NXL,"Nexalin Technology, Inc. - Common Stock",NASDAQ
NASDAQ,NXPI,NXPI,NXP Semiconductors N.V. - Common Stock,NASDAQ;SP500
NASDAQ,NXPL,NXPL,NextPlat Corp - Common Stock,NASDAQ
NASDAQ,NXST,NXST,"Nexstar Media Group, Inc. - Common Stock",NASDAQ
NASDAQ,NXT,NXT,Nextpower Inc. - Class A Common Stock,NASDAQ
NASDAQ,NXTC,NXTC,"NextCure, Inc. - Common Stock",NASDAQ
NASDAQ,NXTS,NXTS,Nexentis Technologies Inc. - Common Stock,NASDAQ
NASDAQ,NXTT,NXTT,Next Technology Holding Inc. - Ordinary Shares,NASDAQ
NASDAQ,NXXT,NXXT,"NextNRG, Inc. - Common Stock",NASDAQ
NASDAQ,NYAX,NYAX,Nayax Ltd. - Ordinary Shares,NASDAQ
NASDAQ,NYXH,NYXH,Nyxoah SA - Ordinary Shares,NASDAQ
NASDAQ,OABI,OABI,"OmniAb, Inc. - Common Stock",NASDAQ
NASDAQ,OACC,OACC,Oaktree Acquisition Corp. III Life Sciences - Class A Ordinary Share,NASDAQ
NASDAQ,OBA,OBA,Oxley Bridge Acquisition Limited - Class A Ordinary Shares,NASDAQ
NASDAQ,OBIO,OBIO,"Orchestra BioMed Holdings, Inc. - Ordinary Shares",NASDAQ
NASDAQ,OBT,OBT,"Orange County Bancorp, Inc. - Common Stock",NASDAQ
NASDAQ,OCC,OCC,Optical Cable Corporation - Common Stock,NASDAQ
NASDAQ,OCFC,OCFC,OceanFirst Financial Corp. - Common Stock,NASDAQ
NASDAQ,OCG,OCG,Oriental Culture Holding LTD - Ordinary Shares,NASDAQ
NASDAQ,OCGN,OCGN,"Ocugen, Inc. - Common Stock",NASDAQ
NASDAQ,OCS,OCS,Oculis Holding AG - Ordinary shares,NASDAQ
NASDAQ,OCUL,OCUL,"Ocular Therapeutix, Inc. - Common Stock",NASDAQ
NASDAQ,OXBR,OXBR,Oxbridge Re Holdings Limited - Ordinary Shares,NASDAQ
NASDAQ,OYSE,OYSE,Oyster Enterprises II Acquisition Corp - Class A Ordinary Shares,NASDAQ
NASDAQ,OZK,OZK,Bank OZK - Common Stock,NASDAQ
NASDAQ,PAAC,PAAC,Proem Acquisition Corp I - Ordinary Shares,NASDAQ
NASDAQ,PACB,PACB,"Pacific Biosciences of California, Inc. - Common Stock",NASDAQ
NASDAQ,PACH,PACH,Pioneer Acquisition I Corp - Class A Ordinary Shares,NASDAQ
NASDAQ,PAHC,PAHC,Phibro Animal Health Corporation - Class A Common Stock,NASDAQ
NASDAQ,PALI,PALI,"Palisade Bio, Inc. - Common Stock",NASDAQ
